favorite_count,retweet_count,tweet_id
36871,7853,892420643555336193
31735,5824,892177421306343426
23905,3850,891815181378084864
40183,8026,891689557279858688
38378,8674,891327558926688256
19309,2889,891087950875897856
11254,1905,890971913173991426
62160,17551,890729181411237888
26565,3982,890609185150312448
30405,6825,890240255349198849
29267,6813,890006608113172480
26569,4640,889880896479866881
45825,9313,889665388333682689
25818,4179,889638837579907072
14424,2100,889531135344209921
24015,4970,889278841981685760
27761,4193,888917238123831296
24390,3959,888804989199671297
18859,3256,888554962724278272
20762,3219,888078434458587136
28803,4993,887705289381826560
44160,10916,887517139158093824
65657,16763,887473957103951883
32111,9719,887343217045368832
29168,5537,887101392804085760
33395,7138,886983233522544640
11462,3006,886736880519319552
21404,4147,886680336477933568
20175,2953,886366144734445568
115,4,886267009285017600
26667,5871,886258384151887873
0,101,886054160059072513
31076,6269,885984800019947520
34296,5945,885528943205470208
19519,3474,885518971528720385
0,17246,885311592912609280
20891,4075,885167619883638784
73725,16843,884925521741709313
26571,5200,884876753390489601
23179,4369,884562892145688576
25788,5283,884441805382717440
69441,18917,884247878851493888
19444,2775,884162670584377345
20848,3208,883838122936631299
43780,9210,883482846933004288
21628,3446,883360690899218434
35407,6177,883117836046086144
22789,3625,882992080364220416
26973,4554,882762694511734784
26658,5641,882627270321602560
42804,10788,882268110199369728
27958,4565,882045870035918850
23211,3163,881906580714921986
48318,9930,881666595344535552
121,7,881633300179243008
47142,14867,881536004380872706
22122,4885,881268444196462592
16250,2598,880935762899988482
20315,3558,880872448815771648
27204,5805,880465832366813184
25756,3898,880221127280381952
26367,4032,880095782870896641
21327,3250,879862464715927552
300,10,879674319642796034
22399,2966,879492040517615616
101026,41386,879415818425184262
16043,2917,879376492567855104
0,6334,879130579576475649
21508,4353,879050749262655488
18115,2501,879008229531029506
18501,3818,878776093423087618
28805,6654,878604707211726852
0,1201,878404777348136964
0,6224,878316110768087041
7376,1201,878281511006478336
40181,6334,878057613040115712
75935,17730,877736472329191424
0,74,877611172832227328
21702,3557,877556246731214848
26191,4842,877316821321428993
25896,5217,877201837425926144
19769,3109,876838120628539392
22549,4368,876537666061221889
17940,2220,876484053909872640
26717,4357,876120275196170240
24085,3984,875747767867523072
20967,4594,875144289856114688
26265,5683,875097192612077568
24366,4420,875021211251597312
26627,4335,874680097055178752
0,13655,874434818259525634
24920,3849,874296783580663808
21744,3716,874057562936811520
32950,9650,874012996292530176
23191,3689,873580283840344065
0,1492,873337748698140672
6884,1492,873213775632977920
26157,5086,872967104147763200
14125,3482,872820683541237760
19902,3433,872620804844003328
39048,8475,872486979161796608
32973,7631,872122724285648897
36221,10394,871879754684805121
19435,3275,871762521631449091
19376,3263,871515927908634625
0,5391,871166179821445120
20131,5196,871102520638267392
21840,3601,871032628920680449
32356,5856,870804317367881728
117,3,870726314365509632
11913,2493,870656317836468226
79750,24999,870374049280663552
21058,3924,870308999962521604
35236,7865,870063196459192321
40933,9551,869772420881756160
27224,5980,869702957897576449
15397,2975,869596645499047938
19707,3588,869227993411051520
63172,13688,868880397819494401
0,1971,868639477480148993
25783,5038,868622495443632128
9757,1971,868552278524837888
23410,3975,867900495410671616
32827,6992,867774946302451713
15579,2370,867421006826221569
0,116,867072653475098625
31168,7503,867051520902168576
19404,4577,866720684873056260
18665,3308,866686824827068416
118444,33638,866450705531457537
50822,13655,866334964761202691
0,8011,866094527597207552
24883,5366,865718153858494464
25686,4773,865359393868664832
27168,7353,865006731092295680
31324,8336,864873206498414592
14163,2890,864279568663928832
29191,8500,864197398364647424
20023,3954,863907417377173506
14853,4017,863553081350529029
0,2330,863471782782697472
23164,5036,863432100342583297
2166,92,863427515083354112
8538,1060,863079547188785154
8245,2330,863062471531167744
18661,4949,862831371563274240
16630,3406,862722525377298433
19944,4750,862457590147678208
72496,22311,862096992088072192
35185,10316,861383897657036800
16774,3991,861288531465048066
16297,3681,861005113778896900
0,2077,860981674716409858
0,781,860924035999428608
7331,2077,860563773140209665
23099,5129,860524505164394496
17936,3376,860276583193509888
16289,5652,860184849394610176
0,29929,860177593139703809
19149,3963,859924526012018688
15084,3391,859851578198683649
18201,1513,859607811541651456
88062,29205,859196978902773760
33171,13217,859074603037188101
0,7890,858860390427611136
15263,3396,858843525470990336
21095,4724,858471635011153920
15437,2832,858107933456039936
15818,2523,857989990357356544
33616,10339,857746408056729600
5788,1600,857393404942143489
19686,4399,857263160327368704
221,17,857214891891077121
0,166,857062103051644929
18591,3904,857029823797047296
16052,2818,856543823941562368
11682,1836,856526610513747968
0,651,856330835276025856
507,15,856288084350160898
27361,6157,856282028240666624
340,25,855862651834028034
4902,970,855860136149123072
11717,2074,855857698524602368
45014,17589,855851453814013952
26310,5327,855818117272018944
29524,8064,855459453768019968
0,5863,855245323840757760
0,44,855138241867124737
22570,5966,854732716440526848
29019,6784,854482394044301312
18721,4628,854365224396361728
31724,7406,854120357044912130
16079,3115,854010172552949760
28393,5676,853760880890318849
34555,9969,853639147608842240
15414,3514,853299958564483072
0,1986,852936405516943360
9017,1810,852912242202992640
14852,2131,852672615818899456
16248,3459,852553447878664193
33011,9859,852311364735569921
19943,6799,852226086759018497
11430,1572,852189679701164033
0,19,851861385021730816
16225,3458,851591660324737024
24223,7028,851464819735769094
20669,5704,851224888060895234
30878,9114,850753642995093505
13094,2610,850380195714523136
3461,331,850333567704068097
16363,3792,850145622816686080
20472,4870,850019790995546112
30551,7605,849776966551130114
0,4947,849668094696017920
15910,3159,849412302885593088
11444,1903,849336543269576704
42505,8488,849051919805034497
25299,4331,848690551926992896
