tweet_id,name,rating_numerator,dog_stage,p1,p1_conf,p1_dog
892420643555336193,Phineas,13,unknown,orange,0.0970486,False
892177421306343426,Tilly,13,unknown,chihuahua,0.323581,True
891815181378084864,Archie,12,unknown,chihuahua,0.716012,True
891689557279858688,Darla,13,unknown,paper_towel,0.17027799999999998,False
891327558926688256,Franklin,12,unknown,basset,0.555712,True
891087950875897856,None,13,unknown,chesapeake_bay_retriever,0.425595,True
890971913173991426,Jax,13,unknown,appenzeller,0.34170300000000003,True
890729181411237888,None,13,unknown,pomeranian,0.566142,True
890609185150312448,Zoey,13,unknown,irish_terrier,0.487574,True
890240255349198849,Cassie,14,doggo,pembroke,0.511319,True
890006608113172480,Koda,13,unknown,samoyed,0.957979,True
889880896479866881,Bruno,13,unknown,french_bulldog,0.377417,True
889665388333682689,None,13,puppo,pembroke,0.966327,True
889638837579907072,Ted,12,unknown,french_bulldog,0.99165,True
889531135344209921,Stuart,13,puppo,golden_retriever,0.953442,True
889278841981685760,Oliver,13,unknown,whippet,0.626152,True
888917238123831296,Jim,12,unknown,golden_retriever,0.714719,True
888804989199671297,Zeke,13,unknown,golden_retriever,0.46976,True
888554962724278272,Ralphus,13,unknown,siberian_husky,0.700377,True
888078434458587136,Gerald,12,unknown,french_bulldog,0.995026,True
887705289381826560,Jeffrey,13,unknown,basset,0.821664,True
887517139158093824,such,14,unknown,limousine,0.130432,False
887473957103951883,Canela,13,unknown,pembroke,0.809197,True
887343217045368832,None,13,unknown,mexican_hairless,0.330741,True
887101392804085760,None,12,unknown,samoyed,0.733942,True
886983233522544640,Maya,13,unknown,chihuahua,0.793469,True
886736880519319552,Mingus,13,unknown,kuvasz,0.309706,True
886680336477933568,Derek,13,unknown,convertible,0.738995,False
886366144734445568,Roscoe,12,pupper,french_bulldog,0.999201,True
886258384151887873,Waffles,13,unknown,pug,0.943575,True
885984800019947520,Jimbo,12,unknown,blenheim_spaniel,0.972494,True
885528943205470208,Maisey,13,unknown,pug,0.369275,True
885167619883638784,None,13,unknown,malamute,0.8124819999999999,True
884925521741709313,Earl,12,unknown,italian_greyhound,0.259916,True
884876753390489601,Lola,13,unknown,chow,0.822103,True
884562892145688576,Kevin,13,unknown,pug,0.5464060000000001,True
884441805382717440,None,14,unknown,pembroke,0.993225,True
884162670584377345,Yogi,12,doggo,german_shepherd,0.707046,True
883838122936631299,Noah,12,unknown,doberman,0.610946,True
883482846933004288,Bella,5,unknown,golden_retriever,0.943082,True
883360690899218434,Grizzwald,13,floofer,chow,0.987997,True
883117836046086144,None,13,unknown,golden_retriever,0.949562,True
882992080364220416,Rusty,13,unknown,eskimo_dog,0.466778,True
882762694511734784,Gus,12,pupper,labrador_retriever,0.85005,True
882627270321602560,Stanley,13,unknown,pembroke,0.542982,True
882268110199369728,Alfy,13,unknown,golden_retriever,0.762211,True
882045870035918850,Koko,13,unknown,web_site,0.949591,False
881906580714921986,Rey,12,unknown,weimaraner,0.291539,True
881666595344535552,Gary,13,unknown,saluki,0.529012,True
881536004380872706,a,14,pupper,samoyed,0.281463,True
881268444196462592,Elliot,12,unknown,tusker,0.473303,False
880935762899988482,Louis,13,unknown,street_sign,0.251801,False
880872448815771648,None,12,unknown,pembroke,0.791416,True
880465832366813184,Bella,12,unknown,golden_retriever,0.913255,True
880221127280381952,Jesse,12,unknown,chihuahua,0.238525,True
880095782870896641,None,11,unknown,miniature_pinscher,0.120298,True
